label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47
neutral,0.48689621686935425,0.3249911963939667,-0.16447274386882782,0.9999882578849792,0.36931663751602173,0.32056504487991333,-0.13939055800437927,0.9999570846557617,0.5094484686851501,0.4411030411720276,-0.1149284839630127,0.9978294372558594,0.33240172266960144,0.428622841835022,-0.07418760657310486,0.9888480305671692,0.5299940705299377,0.5393437147140503,-0.2644736170768738,0.9974038004875183,0.3100837767124176,0.5250564813613892,-0.18865875899791718,0.9804427623748779,0.45946088433265686,0.5552617907524109,-0.00558095145970583,0.9994890093803406,0.38940897583961487,0.5510929822921753,0.005577380303293467,0.9995884299278259,0.45952901244163513,0.7257376909255981,0.01358430553227663,0.9896034598350525,0.38231444358825684,0.7164019346237183,0.01599378138780594,0.9923508167266846,0.4530881941318512,0.874748170375824,0.1700756847858429,0.9849154949188232,0.3748416304588318,0.8741180300712585,0.1803283393383026,0.9855281710624695
neutral,0.483982652425766,0.3253897428512573,-0.1717054545879364,0.9999883770942688,0.36858657002449036,0.3205619156360626,-0.1401543915271759,0.999956488609314,0.5054921507835388,0.4411664307117462,-0.11870936304330826,0.9978129267692566,0.33170661330223083,0.42906659841537476,-0.07281007617712021,0.9883005619049072,0.5264925956726074,0.539145290851593,-0.26401153206825256,0.9973701238632202,0.3094460666179657,0.5288736820220947,-0.18302646279335022,0.9796838164329529,0.4579037129878998,0.554512083530426,-0.006550812628120184,0.9994936585426331,0.3880539834499359,0.5503771901130676,0.006522572133690119,0.9995898008346558,0.45703619718551636,0.7255171537399292,0.018931830301880836,0.9897220730781555,0.3816564679145813,0.7141403555870056,0.02006576769053936,0.9923299551010132,0.45297449827194214,0.8744301199913025,0.18026818335056305,0.9851585030555725,0.37471675872802734,0.873278021812439,0.1897413730621338,0.9854838848114014
neutral,0.48094868659973145,0.3253498375415802,-0.15925373136997223,0.9999885559082031,0.3672555387020111,0.32049956917762756,-0.12405536323785782,0.9999550580978394,0.5018688440322876,0.44014009833335876,-0.10954401642084122,0.9977820515632629,0.33127808570861816,0.42908114194869995,-0.05806310102343559,0.9876031875610352,0.5239884853363037,0.5373296141624451,-0.25097572803497314,0.9973533749580383,0.3089699447154999,0.5302770137786865,-0.1688397228717804,0.9789266586303711,0.45629578828811646,0.5544891953468323,-0.007323514670133591,0.9995015859603882,0.3865276873111725,0.5502607822418213,0.007298263721168041,0.9995916485786438,0.4554809033870697,0.7255136370658875,0.02211090549826622,0.9897077083587646,0.38098788261413574,0.7127421498298645,0.021537037566304207,0.9921513795852661,0.45247235894203186,0.874342679977417,0.18322895467281342,0.9851416945457458,0.37375858426094055,0.8715683221817017,0.19286683201789856,0.9851988554000854
neutral,0.4788731634616852,0.3253481090068817,-0.1544441431760788,0.9999887347221375,0.36572736501693726,0.32068783044815063,-0.12291127443313599,0.9999539852142334,0.4994882047176361,0.4400887191295624,-0.10427731275558472,0.9977543950080872,0.3312227725982666,0.4300757050514221,-0.058524489402770996,0.987172544002533,0.5227123498916626,0.5368598699569702,-0.2442120611667633,0.9973542094230652,0.30866843461990356,0.5318025946617126,-0.16968682408332825,0.978204607963562,0.4551078677177429,0.5548551082611084,-0.006885779555886984,0.999513566493988,0.38533881306648254,0.5504252910614014,0.006855461746454239,0.9995971918106079,0.45468392968177795,0.7255592346191406,0.028782743960618973,0.9897670745849609,0.38043105602264404,0.7127266526222229,0.020895186811685562,0.9921301007270813,0.45157450437545776,0.8744639754295349,0.19186973571777344,0.9853105545043945,0.3734028935432434,0.8708487153053284,0.1961233913898468,0.9850856065750122
neutral,0.47485002875328064,0.3253418505191803,-0.15580227971076965,0.9999876618385315,0.3619285225868225,0.32109344005584717,-0.11704695224761963,0.999951958656311,0.4961511194705963,0.4398326575756073,-0.10487706959247589,0.9976258873939514,0.330326110124588,0.43047043681144714,-0.05078015476465225,0.986007034778595,0.5207542777061462,0.5368579030036926,-0.22879867255687714,0.9970919489860535,0.30844956636428833,0.5328664779663086,-0.15259423851966858,0.9766446948051453,0.4533005356788635,0.5552080869674683,-0.0076694004237651825,0.9995189309120178,0.3832068145275116,0.5507583618164062,0.007624354213476181,0.9996022582054138,0.4536859095096588,0.725504457950592,0.02700001560151577,0.9896288514137268,0.3795052170753479,0.7127376198768616,0.02239263989031315,0.9920595288276672,0.4506980776786804,0.8744131326675415,0.1885746419429779,0.9852864742279053,0.3732360601425171,0.8693978786468506,0.19821032881736755,0.9851721525192261
neutral,0.4732210636138916,0.32547104358673096,-0.15560993552207947,0.9999870657920837,0.360237181186676,0.32115620374679565,-0.11915381252765656,0.9999504685401917,0.49461111426353455,0.43984076380729675,-0.10549281537532806,0.9975237846374512,0.3290311396121979,0.4306846559047699,-0.05486609786748886,0.9853014945983887,0.5197268724441528,0.537147581577301,-0.23288314044475555,0.9969451427459717,0.3084207773208618,0.5339580774307251,-0.15914645791053772,0.9756227135658264,0.4519270062446594,0.5555941462516785,-0.007591084577143192,0.999524712562561,0.38161349296569824,0.5509432554244995,0.007548457942903042,0.9996061325073242,0.4532008767127991,0.7255266904830933,0.026077618822455406,0.989608645439148,0.3788295388221741,0.7128803133964539,0.022319722920656204,0.9920220971107483,0.45023488998413086,0.8744824528694153,0.18863244354724884,0.9853165745735168,0.3732158839702606,0.8687623739242554,0.1993725299835205,0.9851554036140442
neutral,0.47200140357017517,0.32556089758872986,-0.15529485046863556,0.9999865889549255,0.35925137996673584,0.3211994469165802,-0.12038616091012955,0.999948263168335,0.49336281418800354,0.4398004710674286,-0.1053241640329361,0.9974200129508972,0.32858628034591675,0.430966854095459,-0.05672147870063782,0.9844352006912231,0.5188567638397217,0.5370721220970154,-0.23209400475025177,0.9967926144599915,0.30824413895606995,0.5345163941383362,-0.16081760823726654,0.9742524027824402,0.4511933922767639,0.5555445551872253,-0.007542616222053766,0.9995301961898804,0.3808745741844177,0.5509079694747925,0.007502778433263302,0.9996081590652466,0.45318514108657837,0.7255068421363831,0.025383364409208298,0.9896677732467651,0.37815961241722107,0.7130493521690369,0.021354857832193375,0.9920189380645752,0.4503607153892517,0.874776303768158,0.18531616032123566,0.9854984879493713,0.3733483850955963,0.8687556982040405,0.19505469501018524,0.985289990901947
neutral,0.47121864557266235,0.3255602717399597,-0.15121044218540192,0.9999863505363464,0.35856202244758606,0.321245014667511,-0.1187552958726883,0.9999471306800842,0.49270135164260864,0.43942901492118835,-0.10484115034341812,0.9973368644714355,0.32760924100875854,0.43105170130729675,-0.057533733546733856,0.9838164448738098,0.5187354683876038,0.5363600254058838,-0.23422017693519592,0.9966935515403748,0.30811819434165955,0.5347240567207336,-0.1629728525876999,0.9733086228370667,0.4507337212562561,0.5555420517921448,-0.007492183241993189,0.9995384216308594,0.3804018199443817,0.550923228263855,0.0074530066922307014,0.9996135234832764,0.4529910087585449,0.7255168557167053,0.023021524772047997,0.9897206425666809,0.3773655295372009,0.7134224772453308,0.02082335576415062,0.9920292496681213,0.45028573274612427,0.8749637603759766,0.17948001623153687,0.9856418371200562,0.3734862208366394,0.8690688610076904,0.19296006858348846,0.9854689240455627
neutral,0.4704660475254059,0.32577329874038696,-0.14928236603736877,0.9999865293502808,0.3578803539276123,0.3212580978870392,-0.11799409240484238,0.9999473690986633,0.4923764169216156,0.439402312040329,-0.10477618128061295,0.9973016977310181,0.3262934684753418,0.43111515045166016,-0.058113742619752884,0.9835479855537415,0.518775999546051,0.5359857082366943,-0.2399774044752121,0.9966947436332703,0.3080593943595886,0.5350740551948547,-0.1653071492910385,0.9731156826019287,0.44995301961898804,0.5555078983306885,-0.0074528856202960014,0.9995499849319458,0.3796098232269287,0.5508085489273071,0.007414770312607288,0.9996199011802673,0.4523683488368988,0.7258070707321167,0.022712096571922302,0.9898408055305481,0.37684547901153564,0.7142661809921265,0.020851705223321915,0.9920351505279541,0.4502330422401428,0.8759233355522156,0.17845149338245392,0.9858200550079346,0.37357982993125916,0.869379460811615,0.1919862926006317,0.9855260252952576
neutral,0.4699355661869049,0.3257672190666199,-0.14976996183395386,0.9999865889549255,0.357474148273468,0.3212599456310272,-0.11892922967672348,0.9999468922615051,0.49215832352638245,0.4391520321369171,-0.1044422835111618,0.9972427487373352,0.3254227340221405,0.43112269043922424,-0.058548133820295334,0.9831467866897583,0.5185535550117493,0.5356889963150024,-0.24015358090400696,0.9966674447059631,0.30800753831863403,0.5357955694198608,-0.16636762022972107,0.9726811051368713,0.44950446486473083,0.5554993748664856,-0.007437543477863073,0.9995607137680054,0.3789863884449005,0.5507391691207886,0.007398074958473444,0.9996247291564941,0.45185303688049316,0.7255022525787354,0.02308824099600315,0.9899627566337585,0.3763672709465027,0.7142695784568787,0.022935962304472923,0.9920175075531006,0.45020976662635803,0.8759558200836182,0.1799459606409073,0.9860501885414124,0.37360212206840515,0.8694527745246887,0.1960202008485794,0.9855867624282837
neutral,0.46967005729675293,0.325765997171402,-0.15371111035346985,0.9999868273735046,0.357220321893692,0.32131749391555786,-0.11970444023609161,0.9999463558197021,0.49228543043136597,0.4390229284763336,-0.10898556560277939,0.9972591996192932,0.3247469365596771,0.4311680495738983,-0.05934423208236694,0.9829018712043762,0.5183748006820679,0.5353740453720093,-0.24755537509918213,0.9967044591903687,0.3079369366168976,0.5367447733879089,-0.16749776899814606,0.9724337458610535,0.4488336145877838,0.555468738079071,-0.00774349644780159,0.9995694160461426,0.37823861837387085,0.5506563782691956,0.00770154595375061,0.9996283054351807,0.4515916705131531,0.7252181172370911,0.02256915532052517,0.990041971206665,0.37597373127937317,0.7142255306243896,0.023416392505168915,0.9919908046722412,0.4501554071903229,0.8759583830833435,0.17984697222709656,0.9862223267555237,0.37360382080078125,0.869260847568512,0.1965571939945221,0.9856553673744202
